Dato,Tid,Vindretning,Vindstyrke,Vindkast
2024-08-15,21:30,333,2,3.9
2024-08-15,21:40,352,1.6,2.7
2024-08-15,21:50,344,1.6,2.7
2024-08-15,22:00,326,0.8,1.8
2024-08-15,22:10,326,1.1,1.8
2024-08-15,22:20,111,1.3,2.1
2024-08-15,22:30,133,1.3,1.8
2024-08-15,22:40,141,1.4,2.1
2024-08-15,22:50,143,1.3,2.4
2024-08-15,23:00,136,1.9,2.7
2024-08-15,23:10,128,1.5,2.7
2024-08-15,23:20,127,2.3,3.9
2024-08-15,23:30,135,2.8,3.9
2024-08-15,23:40,138,2.3,3.9
2024-08-15,23:50,145,2.2,3.6
2024-08-16,00:00,142,2.8,4.8
2024-08-16,00:10,147,2.1,3.3
2024-08-16,00:20,159,3.1,4.5
2024-08-16,00:30,144,2.7,5.1
2024-08-16,00:40,146,2.8,4.5
2024-08-16,00:50,142,2.2,3.9
2024-08-16,01:00,132,1.6,3
2024-08-16,01:10,147,1.6,3
2024-08-16,01:20,145,1.4,2.7
2024-08-16,01:30,142,1.3,3
2024-08-16,01:40,153,2.2,3.3
2024-08-16,01:50,151,2.2,3.6
2024-08-16,02:00,152,2,3
2024-08-16,02:10,151,1.6,2.4
2024-08-16,02:20,155,2,3
2024-08-16,02:30,150,2.5,3.6
2024-08-16,02:40,159,2.1,3.3
2024-08-16,02:50,159,2.2,3.3
2024-08-16,03:00,152,2.3,3.3
2024-08-16,03:10,151,2.1,3.3
2024-08-16,03:20,140,2,3
2024-08-16,03:30,151,2,3
2024-08-16,03:40,161,1.9,3.3
2024-08-16,03:50,150,1.9,3.3
2024-08-16,04:00,154,2,3.3
2024-08-16,04:10,161,2,3.3
2024-08-16,04:20,179,1.7,3.3
2024-08-16,04:30,174,1.3,2.7
2024-08-16,04:40,132,1.4,2.4
2024-08-16,04:50,108,1.5,2.1
2024-08-16,05:00,141,1.9,3
2024-08-16,05:10,150,1.7,2.7
2024-08-16,05:20,153,2.1,3
2024-08-16,05:30,153,2.1,3
2024-08-16,05:40,153,2.3,3.3
2024-08-16,05:50,149,2.3,3.6
2024-08-16,06:00,151,2.2,3.6
2024-08-16,06:10,139,2.1,3.3
2024-08-16,06:20,148,1.9,3.6
2024-08-16,06:30,141,2,2.7
2024-08-16,06:40,144,2.7,4.5
2024-08-16,06:50,130,2.4,3.6
2024-08-16,07:00,127,1.9,3
2024-08-16,07:10,136,2.5,3.6
2024-08-16,07:20,132,2.5,3.9
2024-08-16,07:30,120,2.5,3.9
2024-08-16,07:40,119,1.9,3
2024-08-16,07:50,124,2.3,4.8
2024-08-16,08:00,147,4,6.6
2024-08-16,08:10,150,1.3,2.7
2024-08-16,08:20,119,2.5,4.5
2024-08-16,08:30,119,3.1,6
2024-08-16,08:40,118,3.1,5.7
2024-08-16,08:50,140,3.5,8.4
2024-08-16,09:00,152,4.8,8.4
2024-08-16,09:10,152,5.2,8.4
2024-08-16,09:20,157,4.6,9
2024-08-16,09:30,150,4.7,7.5
2024-08-16,09:40,152,4.1,6.6
2024-08-16,09:50,162,3.3,6.3
2024-08-16,10:00,152,3.7,6.6
2024-08-16,10:10,153,3.7,6.6
2024-08-16,10:20,157,4.5,7.5
2024-08-16,10:30,157,4.4,7.5
2024-08-16,10:40,155,5,7.5
2024-08-16,10:50,158,4.9,8.1
2024-08-16,11:00,160,4.1,8.7
2024-08-16,11:10,159,6.1,9.6
2024-08-16,11:20,155,5.4,9.6
2024-08-16,11:30,154,5.7,9.6
2024-08-16,11:40,160,6.7,10.2
2024-08-16,11:50,164,7.2,10.7
2024-08-16,12:00,159,5.5,9.6
2024-08-16,12:10,142,4.3,6.6
2024-08-16,12:20,145,5.2,10.4
2024-08-16,12:30,152,6,11
2024-08-16,12:40,159,5.9,9
2024-08-16,12:50,160,6.3,10.7
2024-08-16,13:00,152,6.6,10.2
2024-08-16,13:10,161,5.4,9.6
2024-08-16,13:20,151,6.7,11.3
2024-08-16,13:30,160,6.5,9.6
2024-08-16,13:40,163,5.5,9.3
2024-08-16,13:50,154,5.9,9.6
2024-08-16,14:00,166,5,8.7
2024-08-16,14:10,163,4.9,10.4
2024-08-16,14:20,156,6.5,11.9
2024-08-16,14:30,163,5.9,9.6
2024-08-16,14:40,163,5,8.4
2024-08-16,14:50,162,5.4,9
2024-08-16,15:00,165,5.6,9
2024-08-16,15:10,165,5.5,9
2024-08-16,15:20,157,4.9,8.4
2024-08-16,15:30,156,5.8,9.3
2024-08-16,15:40,164,5.3,8.7
2024-08-16,15:50,161,5,9.3
2024-08-16,16:00,160,4.9,9.6
2024-08-16,16:10,163,5.1,8.7
2024-08-16,16:20,157,4.3,8.7
2024-08-16,16:30,161,4.6,9
2024-08-16,16:40,159,5.5,10.2
